name,phone,birthday
John,4624814010;4942766711;6455830129,2003-12-22
Max,9134917657;7765502241,1989-01-09
Will,6575294353;8760003943;3640294419,None
Ban,6571538585;1769092962,None
Jane,6633900804;1516964732,None
Kenny,9558047654,1999-08-14
Bond,8488508142;3265497236;6354783945,None
Mikel,6717080608,None
Billy,6220964368;2259484187,1958-04-02
Hanna,9808972517;1536459642;7843330942,None
Alona,1038675434,1991-01-20
Iren,1232119855;7667863441;5041366923,None
Nikela,3844563042,None
Kaladin,7683153071;4985248300,1988-07-30
Kane,6125464232;1257622569,1968-08-24
Bane,9419147097;7597719182;3619684423,1972-12-10
Pol,3970104573,None
Monika,7777711111;2222244444,1970-02-12
